Area,Authority,ward,Type,Electoral system,Island,Region,Area type,TA Type,City Size,Progress results issued,Progress results time,Preliminary results announced,Voting papers order,Other elections were:,Poles were:,Number of documents sent,Number of documents returned unopened,Number of documents returned late,Contested wards,"Positions 
(N)","Elected unopposed 
(N)","Candidates 
(N)",Candidates per position,Electors per electable position,Voters per electable contested position,"Candidates Council sitting members 
(N)","Candidates Council sitting members 
(%)","Also candidates for Council
(N)",Sitting Mayor,Mayor/ Council members re-elected (N),"Mayor/ Council members re-elected
(%)",Council members re-elected or Mayor (N),"Council members re-elected or Mayor
(%)","Candidates (community) board members 
(N)","Candidates (community) board members 
(%)","(Community) board members elected 
(N)","(Community) board members elected 
(%)","Residential electors 
(N)","Ratepayer electors 
(N)","Ratepayer electors 
(%)","Total electors 
(N)",Estimated population resident 2009,Electors as % of total population,Residential electors (contested wards only),Ratepayer electors (contested wards only),Total electors (Contested wards only),"Residential voters 
(N)","Residential turnout 
(%)","Ratepayer voters 
(N)","Ratepayer turnout
(%)","Total voters 
(N)",Overall turnout (%),"Residential special votes cast 
(N)","Residential special votes cast 
(%)","Ratepayer special votes cast 
(N)","Ratepayer special votes cast 
(%)","Total special votes cast 
(N)","Total special votes cast 
(%)","Residential special votes allowed 
(N)","Residential special votes allowed 
(%)","Ratepayer special votes allowed 
(N)","Ratepayer special votes allowed 
(%)","Total special votes allowed 
(N)","Total special votes allowed 
(%)","Informal votes
(N)","Informal votes
(%)","Blank votes 
(N)","Blank votes 
(%)","Blank and informal votes 
(N)","Blank and informal votes 
(%)","Women candidates
(N)","Women candidates
(%)","Women councillors
(N)","Women councillors
(%)",Unfilled positions
RANGITIKEI DISTRICT,RANGITIKEI DISTRICT COUNCIL,TURAKINA,DC,FPP,n,Manawatu-Wanganui,Rural,District,,Y,1.00 pm,10th October 4.00 pm,Alphabetical,N/A,N/A,"10,068",94,14,Contested,1,0,2,2.00,842,380,1,50.0%,,,1,100.0%,1,,0,0.0%,0,0.0%,838,4,0.48%,842,1230,68.5%,838,4,842,377,45.0%,3,75.0%,380,45.1%,3,0.8%,0,0.0%,3,0.8%,3,100.0%,0,,3,100.0%,0,0.0%,4,1.1%,4,1.1%,1,50.0%,1,100.0%,
RANGITIKEI DISTRICT,RANGITIKEI DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Manawatu-Wanganui,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"10,068",,1,100.0%,0,Unopposed,1,100.0%,1,,,,,,"10,053",15,0.15%,"10,068",14890,67.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
ROTORUA DISTRICT,ROTORUA LAKES COMMUNITY BOARD,AT LARGE,CB,FPP,n,Bay of Plenty,Provincial,District,,,,,,,,,,,Unopposed,4,4,4,1.00,534,,,,,,,,,,3,75.0%,3,75.0%,"2,026",110,5.15%,"2,136",2980,71.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
ROTORUA DISTRICT,ROTORUA DISTRICT COUNCIL,AT LARGE,DC,FPP,n,Bay of Plenty,Provincial,District,,Y,12.05 pm,10.16 pm,Alphabetical,N/A,N/A,"44,426",608,8,Contested,12,0,28,2.33,178,"1,607",12,42.9%,,,11,91.7%,11,84.6%,0,0.0%,0,0.0%,"2,026",110,5.15%,"2,136",68200,65.2%,"2,026",110,"2,136","19,161",945.8%,122,110.9%,"19,283",902.8%,322,1.7%,9,7.4%,331,1.7%,225,69.9%,9,100.0%,234,70.7%,145,0.8%,181,0.9%,326,1.7%,9,32.1%,6,50.0%,
ROTORUA DISTRICT,ROTORUA DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Bay of Plenty,Provincial,District,,,,,,,,,,,Contested,1,0,3,3.00,"44,433","19,283",2,66.7%,2,Re-elected,1,100.0%,1,,,,,,"44,267",166,0.37%,"44,433",68200,65.2%,"44,267",166,"44,433","19,161",43.3%,122,73.5%,"19,283",43.4%,322,1.7%,9,7.4%,331,1.7%,225,69.9%,9,100.0%,234,70.7%,15,0.1%,555,2.9%,570,3.0%,0,0.0%,0,0.0%,
RUAPEHU DISTRICT,NATIONAL PARK COMMUNITY BOARD,AT LARGE,CB,FPP,n,Manawatu-Wanganui,Rural,District,,,,,,,,,,,Unopposed,4,4,4,1.00,180,,,,,,,,,,2,50.0%,2,50.0%,697,24,3.33%,721,1120,64.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25.0%,1,25.0%,
RUAPEHU DISTRICT,WAIMARINO-WAIOURU COMMUNITY BOARD,AT LARGE,CB,FPP,n,Manawatu-Wanganui,Rural,District,,,,,,,,,,,Unopposed,4,4,4,1.00,653,,,,,,,,,,3,75.0%,3,75.0%,"2,569",44,1.68%,"2,613",4960,52.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
RUAPEHU DISTRICT,RUAPEHU DISTRICT COUNCIL,NATIONAL PARK,DC,FPP,n,Manawatu-Wanganui,Rural,District,,,,,,,,,,,Contested,1,0,3,3.00,721,380,1,33.3%,,,0,0.0%,0,,0,0.0%,0,0.0%,697,24,3.33%,721,1120,64.4%,697,24,721,359,51.5%,21,87.5%,380,52.7%,2,0.6%,0,0.0%,2,0.5%,2,100.0%,0,,2,100.0%,0,0.0%,5,1.3%,5,1.3%,1,33.3%,1,100.0%,
RUAPEHU DISTRICT,RUAPEHU DISTRICT COUNCIL,OHURA,DC,FPP,n,Manawatu-Wanganui,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1.00,718,,1,100.0%,,,1,100.0%,1,,0,0.0%,0,0.0%,717,1,0.14%,718,1160,61.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.0%,1,100.0%,
RUAPEHU DISTRICT,RUAPEHU DISTRICT COUNCIL,TAUMARUNUI,DC,FPP,n,Manawatu-Wanganui,Rural,District,,,,,,,,,,,Contested,5,0,7,1.40,759,370,5,71.4%,,,5,100.0%,5,,0,0.0%,0,0.0%,"3,781",15,0.40%,"3,796",6350,59.8%,"3,781",15,"3,796","1,840",48.7%,12,80.0%,"1,852",48.8%,11,0.6%,1,8.3%,12,0.6%,11,100.0%,1,100.0%,12,100.0%,3,0.2%,19,1.0%,22,1.2%,4,57.1%,2,40.0%,
RUAPEHU DISTRICT,RUAPEHU DISTRICT COUNCIL,WAIMARINO-WAIOURU,DC,FPP,n,Manawatu-Wanganui,Rural,District,,Y,1.00 pm,10th October 4.00 pm,Alphabetical,N/A,N/A,"7,848",81,10,Contested,4,0,5,1.25,653,229,3,60.0%,,,3,75.0%,3,,0,0.0%,0,0.0%,"2,569",44,1.68%,"2,613",4960,52.7%,"2,569",44,"2,613",877,34.1%,37,84.1%,914,35.0%,4,0.5%,0,0.0%,4,0.4%,4,100.0%,0,,4,100.0%,2,0.2%,8,0.9%,10,1.1%,3,60.0%,2,50.0%,
RUAPEHU DISTRICT,RUAPEHU DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Manawatu-Wanganui,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"7,848",,1,100.0%,0,Unopposed,1,100.0%,1,,,,,,"7,764",84,1.07%,"7,848",13590,57.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.0%,1,100.0%,
SELWYN DISTRICT,MALVERN COMMUNITY BOARD,HAWKINS,CB,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Unopposed,3,3,3,1.00,"1,147",,,,,,,,,,2,66.7%,2,66.7%,"3,437",3,0.09%,"3,440",4630,74.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66.7%,2,66.7%,
SELWYN DISTRICT,MALVERN COMMUNITY BOARD,TAWERA,CB,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Unopposed,2,2,2,1.00,830,,,,,,,,,,0,0.0%,0,0.0%,"1,632",27,1.63%,"1,659",2360,70.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
SELWYN DISTRICT,SELWYN CENTRAL COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,4,0,5,1.25,"2,454",878,,,,,,,,,1,20.0%,1,25.0%,"9,813",4,0.04%,"9,817",13750,71.4%,"9,813",4,"9,817","3,509",35.8%,4,100.0%,"3,513",35.8%,26,0.7%,1,25.0%,27,0.8%,26,100.0%,1,100.0%,27,100.0%,2,0.1%,321,9.1%,323,9.2%,3,60.0%,3,75.0%,
SELWYN DISTRICT,SELWYN DISTRICT COUNCIL,ELLESMERE,DC,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,2,0,3,1.50,"2,071","1,010",1,33.3%,,,1,50.0%,1,,0,0.0%,0,0.0%,"4,136",5,0.12%,"4,141",6290,65.8%,"4,136",5,"4,141","2,015",48.7%,5,100.0%,"2,020",48.8%,13,0.6%,0,0.0%,13,0.6%,13,100.0%,0,,13,100.0%,0,0.0%,35,1.7%,35,1.7%,1,33.3%,1,50.0%,
SELWYN DISTRICT,SELWYN DISTRICT COUNCIL,MALVERN,DC,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,2,0,5,2.50,"2,550","1,421",2,40.0%,,,1,50.0%,1,,1,20.0%,0,0.0%,"5,069",30,0.59%,"5,099",6990,72.9%,"5,069",30,"5,099","2,815",55.5%,27,90.0%,"2,842",55.7%,15,0.5%,1,3.7%,16,0.6%,15,100.0%,1,100.0%,16,100.0%,3,0.1%,20,0.7%,23,0.8%,0,0.0%,0,0.0%,
SELWYN DISTRICT,SELWYN DISTRICT COUNCIL,SELWYN CENTRAL,DC,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,4,0,10,2.50,"2,454",878,2,20.0%,,,1,25.0%,1,,3,30.0%,2,50.0%,"9,813",4,0.04%,"9,817",13750,71.4%,"9,813",4,"9,817","3,509",35.8%,4,100.0%,"3,513",35.8%,26,0.7%,1,25.0%,27,0.8%,26,100.0%,1,100.0%,27,100.0%,10,0.3%,55,1.6%,65,1.9%,1,10.0%,1,25.0%,
SELWYN DISTRICT,SELWYN DISTRICT COUNCIL,SPRINGS,DC,FPP,s,Canterbury,Provincial,District,,Y,1.00 pm,10th October 4.00 pm,Alphabetical,N/A,N/A,"26,909",238,28,Unopposed,3,3,3,1.00,"2,617",,3,100.0%,,,3,100.0%,3,,0,0.0%,0,0.0%,"7,846",6,0.08%,"7,852",11600,67.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.3%,1,33.3%,
SELWYN DISTRICT,SELWYN DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,1,0,2,2.00,"26,909","11,238",1,50.0%,1,Re-elected,1,100.0%,1,,,,,,"26,864",45,0.17%,"26,909",38630,69.7%,"26,864",45,"26,909","11,197",41.7%,41,91.1%,"11,238",41.8%,65,0.6%,3,7.3%,68,0.6%,65,100.0%,3,100.0%,68,100.0%,9,0.1%,348,3.1%,357,3.2%,0,0.0%,0,0.0%,
SOUTH CANTERBURY DHB,SOUTH CANTERBURY DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,s,Canterbury,DHB,DHB,,Y,8.30 pm,11th October 6.30 pm,Random,,,,,,Contested,7,0,13,1.86,"5,924","3,347",,,,,,,,,5,38.5%,5,71.4%,"41,470",,,"41,470",55600,74.6%,"41,470",,"41,470","23,427",56.5%,,,"23,427",56.5%,103,0.4%,,,103,0.4%,101,98.1%,,,101,98.1%,"1,264",5.4%,"1,021",4.4%,"2,285",9.8%,5,38.5%,2,28.6%,
SOUTH TARANAKI DISTRICT,EGMONT PLAINS COMMUNITY BOARD,AT LARGE,CB,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,Contested,4,0,5,1.25,"1,031",384,,,,,,,,,3,60.0%,2,50.0%,"4,118",5,0.12%,"4,123",6540,63.0%,"4,118",5,"4,123","1,530",37.2%,5,100.0%,"1,535",37.2%,12,0.8%,0,0.0%,12,0.8%,8,66.7%,0,,8,66.7%,3,0.2%,50,3.3%,53,3.5%,1,20.0%,1,25.0%,
SOUTH TARANAKI DISTRICT,ELTHAM COMMUNITY BOARD,AT LARGE,CB,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,Unopposed,4,4,4,1.00,657,,,,,,,,,,4,100.0%,4,100.0%,"2,626",2,0.08%,"2,628",4180,62.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50.0%,2,50.0%,
SOUTH TARANAKI DISTRICT,HAWERA-TANGAHOE COMMUNITY BOARD,HAWERA-NORMANBY,CB,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,Unopposed,3,3,3,1.00,"2,251",,,,,,,,,,2,66.7%,2,66.7%,"6,745",7,0.10%,"6,752",9620,70.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.3%,1,33.3%,
SOUTH TARANAKI DISTRICT,HAWERA-TANGAHOE COMMUNITY BOARD,TANGAHOE,CB,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"1,746",,,,,,,,,,0,0.0%,0,0.0%,"1,745",1,0.06%,"1,746",2620,66.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
SOUTH TARANAKI DISTRICT,PATEA COMMUNITY BOARD,AT LARGE,CB,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,Contested,4,0,6,1.50,638,290,,,,,,,,,2,33.3%,2,50.0%,"2,547",4,0.16%,"2,551",3860,66.1%,"2,547",4,"2,551","1,157",45.4%,4,100.0%,"1,161",45.5%,4,0.3%,0,0.0%,4,0.3%,2,50.0%,0,,2,50.0%,1,0.1%,23,2.0%,24,2.1%,3,50.0%,3,75.0%,
SOUTH TARANAKI DISTRICT,SOUTH TARANAKI DISTRICT COUNCIL,EGMONT PLAINS,DC,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,Unopposed,3,3,3,1.00,"1,374",,1,33.3%,,,1,33.3%,1,,0,0.0%,0,0.0%,"4,118",5,0.12%,"4,123",6540,63.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.3%,1,33.3%,
SOUTH TARANAKI DISTRICT,SOUTH TARANAKI DISTRICT COUNCIL,ELTHAM,DC,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,Unopposed,2,2,2,1.00,"1,314",,2,100.0%,,,2,100.0%,2,,0,0.0%,0,0.0%,"2,626",2,0.08%,"2,628",4180,62.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
SOUTH TARANAKI DISTRICT,SOUTH TARANAKI DISTRICT COUNCIL,HAWERA-NORMANBY,DC,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,Contested,4,0,5,1.25,"1,688",850,3,60.0%,,,3,75.0%,3,,1,20.0%,1,25.0%,"6,745",7,0.10%,"6,752",9620,70.2%,"6,745",7,"6,752","3,393",50.3%,7,100.0%,"3,400",50.4%,18,0.5%,0,0.0%,18,0.5%,10,55.6%,0,,10,55.6%,3,0.1%,29,0.9%,32,0.9%,3,60.0%,2,50.0%,
SOUTH TARANAKI DISTRICT,SOUTH TARANAKI DISTRICT COUNCIL,PATEA,DC,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,Contested,2,0,4,2.00,"1,276",581,1,25.0%,,,1,50.0%,1,,1,25.0%,1,50.0%,"2,547",4,0.16%,"2,551",3860,66.1%,"2,547",4,"2,551","1,157",45.4%,4,100.0%,"1,161",45.5%,4,0.3%,0,0.0%,4,0.3%,2,50.0%,0,,2,50.0%,1,0.1%,37,3.2%,38,3.3%,3,75.0%,1,50.0%,
SOUTH TARANAKI DISTRICT,SOUTH TARANAKI DISTRICT COUNCIL,TANGAHOE,DC,FPP,n,Taranaki,Provincial,District,,N,N/A,2.15 pm,Pseudo-random,N/A,N/A,"17,800",65,26,Unopposed,1,1,1,1.00,"1,746",,1,100.0%,,,1,100.0%,1,,0,0.0%,0,0.0%,"1,745",1,0.06%,"1,746",2620,66.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
SOUTH TARANAKI DISTRICT,SOUTH TARANAKI DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,Contested,1,0,3,3.00,"17,800","7,983",1,33.3%,1,Re-elected,1,100.0%,1,,,,,,"17,781",19,0.11%,"17,800",26820,66.4%,"17,781",19,"17,800","7,964",44.8%,19,100.0%,"7,983",44.8%,41,0.5%,0,0.0%,41,0.5%,22,53.7%,0,,22,53.7%,12,0.2%,166,2.1%,178,2.2%,1,33.3%,0,0.0%,
SOUTH WAIKATO DISTRICT,TIRAU COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Rural,District,,,,,,,,,,,Unopposed,4,4,4,1.00,361,,,,,,,,,,1,25.0%,1,25.0%,"1,441",3,0.21%,"1,444",2190,65.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,75.0%,3,75.0%,
SOUTH WAIKATO DISTRICT,SOUTH WAIKATO DISTRICT COUNCIL,PUTARURU,DC,FPP,n,Waikato,Rural,District,,,,,,,,,,,Contested,3,0,5,1.67,"1,407",536,2,40.0%,,,2,66.7%,2,,0,0.0%,0,0.0%,"4,219",2,0.05%,"4,221",6340,66.6%,"4,219",2,"4,221","1,605",38.0%,3,150.0%,"1,608",38.1%,6,0.4%,1,33.3%,7,0.4%,6,100.0%,1,100.0%,7,100.0%,3,0.2%,36,2.2%,39,2.4%,2,40.0%,2,66.7%,
SOUTH WAIKATO DISTRICT,SOUTH WAIKATO DISTRICT COUNCIL,TIRAU,DC,FPP,n,Waikato,Rural,District,,,,,,,,,,,Contested,1,0,2,2.00,"1,444",501,0,0.0%,,,0,0.0%,0,,0,0.0%,0,0.0%,"1,441",3,0.21%,"1,444",2190,65.9%,"1,441",3,"1,444",497,34.5%,4,133.3%,501,34.7%,1,0.2%,1,25.0%,2,0.4%,1,100.0%,1,100.0%,2,100.0%,0,0.0%,21,4.2%,21,4.2%,1,50.0%,0,0.0%,
SOUTH WAIKATO DISTRICT,SOUTH WAIKATO DISTRICT COUNCIL,TOKOROA,DC,FPP,n,Waikato,Rural,District,,N,N/A,1.15 pm,Alphabetical,N/A,N/A,"14,909",172,9,Contested,6,0,15,2.50,"1,541",620,6,40.0%,,,4,66.7%,4,,0,0.0%,0,0.0%,"9,236",8,0.09%,"9,244",14300,64.6%,"9,236",8,"9,244","3,713",40.2%,8,100.0%,"3,721",40.3%,57,1.5%,0,0.0%,57,1.5%,54,94.7%,0,,54,94.7%,30,0.8%,16,0.4%,46,1.2%,6,40.0%,3,50.0%,
SOUTH WAIKATO DISTRICT,SOUTH WAIKATO DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Waikato,Rural,District,,,,,,,,,,,Contested,1,0,3,3.00,"14,909","5,830",1,33.3%,2,Re-elected,1,100.0%,1,,,,,,"14,896",13,0.09%,"14,909",22830,65.3%,"14,896",13,"14,909","5,815",39.0%,15,115.4%,"5,830",39.1%,64,1.1%,2,13.3%,66,1.1%,61,95.3%,2,100.0%,63,95.5%,6,0.1%,118,2.0%,124,2.1%,1,33.3%,0,0.0%,
SOUTH WAIRARAPA DISTRICT,FEATHERSTON COMMUNITY BOARD,AT LARGE,CB,FPP,n,Wellington,Rural,District,,,,,,,,,,,Unopposed,4,4,4,1.00,537,,,,,,,,,,3,75.0%,3,75.0%,"2,143",4,0.19%,"2,147",3050,70.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50.0%,2,50.0%,
SOUTH WAIRARAPA DISTRICT,GREYTOWN COMMUNITY BOARD,AT LARGE,CB,FPP,n,Wellington,Rural,District,,,,,,,,,,,Contested,4,0,5,1.25,607,295,,,,,,,,,2,40.0%,2,50.0%,"2,414",15,0.62%,"2,429",3050,79.6%,"2,414",15,"2,429","1,165",48.3%,13,86.7%,"1,178",48.5%,10,0.9%,1,7.7%,11,0.9%,10,100.0%,1,100.0%,11,100.0%,1,0.1%,42,3.6%,43,3.7%,4,80.0%,3,75.0%,
SOUTH WAIRARAPA DISTRICT,MARTINBOROUGH COMMUNITY BOARD,AT LARGE,CB,FPP,n,Wellington,Rural,District,,,,,,,,,,,Unopposed,4,3,3,0.75,590,,,,,,,,,,2,66.7%,2,50.0%,"2,322",39,1.65%,"2,361",3150,75.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100.0%,3,75.0%,1
SOUTH WAIRARAPA DISTRICT,SOUTH WAIRARAPA DISTRICT COUNCIL,FEATHERSTON,DC,FPP,n,Wellington,Rural,District,,,,,,,,,,,Contested,3,0,5,1.67,716,364,3,60.0%,,,3,100.0%,3,,0,0.0%,0,0.0%,"2,143",4,0.19%,"2,147",3050,70.4%,"2,143",4,"2,147","1,088",50.8%,4,100.0%,"1,092",50.9%,5,0.5%,0,0.0%,5,0.5%,5,100.0%,0,,5,100.0%,1,0.1%,8,0.7%,9,0.8%,1,20.0%,1,33.3%,
SOUTH WAIRARAPA DISTRICT,SOUTH WAIRARAPA DISTRICT COUNCIL,GREYTOWN,DC,FPP,n,Wellington,Rural,District,,,,,,,,,,,Unopposed,3,3,3,1.00,809,,2,66.7%,,,2,66.7%,2,,0,0.0%,0,0.0%,"2,414",13,0.54%,"2,427",3050,79.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66.7%,2,66.7%,
SOUTH WAIRARAPA DISTRICT,SOUTH WAIRARAPA DISTRICT COUNCIL,MARTINBOROUGH,DC,FPP,n,Wellington,Rural,District,,Y,1.00 pm,10th October 4.00 pm,Alphabetical,N/A,N/A,"6,935",50,21,Contested,3,0,4,1.33,787,416,2,50.0%,,,2,66.7%,2,,0,0.0%,0,0.0%,"2,324",37,1.57%,"2,361",3150,75.0%,"2,324",37,"2,361","1,212",52.2%,37,100.0%,"1,249",52.9%,3,0.2%,1,2.7%,4,0.3%,3,100.0%,1,100.0%,4,100.0%,0,0.0%,9,0.7%,9,0.7%,1,25.0%,1,33.3%,
SOUTH WAIRARAPA DISTRICT,SOUTH WAIRARAPA DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Wellington,Rural,District,,,,,,,,,,,Contested,1,0,2,2.00,"6,935","3,517",1,50.0%,1,Re-elected,1,100.0%,1,,,,,,"6,881",54,0.78%,"6,935",9250,75.0%,"6,881",54,"6,935","3,465",50.4%,52,96.3%,"3,517",50.7%,18,0.5%,2,3.8%,20,0.6%,18,100.0%,2,100.0%,20,100.0%,4,0.1%,74,2.1%,78,2.2%,1,50.0%,1,100.0%,
SOUTH WAIRARAPA DISTRICT,GREYTOWN TRUST LANDS TRUST,AT LARGE,OTHER,FPP,n,Wellington,Rural,District,,,,,,,,,,,Unopposed,3,3,3,1.00,805,,,,,,,,,,0,0.0%,0,0.0%,"2,414",,,"2,414",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
SOUTHERN DHB,SOUTHERN DISTRICT HEALTH BOARD,OTAGO,DHB,STV,s,Otago,DHB,DHB,,,,,,,,,,,Contested,4,0,11,2.75,"33,282","18,063",,,,,,,,,3,27.3%,3,75.0%,"133,127",,,"133,127",188700,70.5%,"133,127",,"133,127","72,251",54.3%,,,"72,251",54.3%,741,1.0%,,,741,1.0%,660,89.1%,,,660,89.1%,"1,619",2.2%,"7,059",9.8%,"8,678",12.0%,4,36.4%,1,25.0%,
SOUTHERN DHB,SOUTHERN DISTRICT HEALTH BOARD,SOUTHLAND,DHB,STV,s,Southland,DHB,DHB,,N,N/A,10th October 2.05 pm,Random,,,,,,Contested,3,0,11,3.67,"25,953","14,001",,,,,,,,,5,45.5%,3,100.0%,"77,858",,,"77,858",111700,69.7%,"77,858",,"77,858","42,003",53.9%,,,"42,003",53.9%,252,0.6%,,,252,0.6%,216,85.7%,,,216,85.7%,484,1.2%,"2,079",4.9%,"2,563",6.1%,7,63.6%,1,33.3%,
SOUTHLAND DISTRICT,BALFOUR COMMUNITY BOARD,AT LARGE,CB,FPP,s,Southland,Provincial,District,,,,,,,,,,,Unopposed,6,6,6,1.00,16,,,,,,,,,,5,83.3%,5,83.3%,95,0,0.00%,95,160,59.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16.7%,1,16.7%,
SOUTHLAND DISTRICT,EDENDALE COMMUNITY BOARD,AT LARGE,CB,FPP,s,Southland,Provincial,District,,,,,,,,,,,Unopposed,6,5,5,0.83,67,,,,,,,,,,4,80.0%,4,66.7%,404,0,0.00%,404,490,82.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,40.0%,2,33.3%,1
SOUTHLAND DISTRICT,LUMSDEN COMMUNITY BOARD,AT LARGE,CB,FPP,s,Southland,Provincial,District,,,,,,,,,,,Contested,6,0,12,2.00,56,32,,,,,,,,,5,41.7%,2,33.3%,332,1,0.30%,333,470,70.9%,332,1,333,192,57.8%,0,0.0%,192,57.7%,6,3.1%,0,,6,3.1%,3,50.0%,0,,3,50.0%,0,0.0%,3,1.6%,3,1.6%,3,25.0%,1,16.7%,
SOUTHLAND DISTRICT,RIVERSDALE COMMUNITY BOARD,AT LARGE,CB,FPP,s,Southland,Provincial,District,,,,,,,,,,,Unopposed,6,6,6,1.00,41,,,,,,,,,,6,100.0%,6,100.0%,247,1,0.40%,248,420,59.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
SOUTHLAND DISTRICT,RIVERTON/APARIMA COMMUNITY BOARD,AT LARGE,CB,FPP,s,Southland,Provincial,District,,,,,,,,,,,Contested,6,0,8,1.33,202,100,,,,,,,,,3,37.5%,3,50.0%,"1,188",26,2.14%,"1,214",1560,77.8%,"1,188",26,"1,214",573,48.2%,26,100.0%,599,49.3%,3,0.5%,0,0.0%,3,0.5%,3,100.0%,0,,3,100.0%,0,0.0%,10,1.7%,10,1.7%,2,25.0%,1,16.7%,
SOUTHLAND DISTRICT,STEWART ISLAND COMMUNITY BOARD,AT LARGE,CB,FPP,s,Southland,Provincial,District,,,,,,,,,,,Contested,6,0,10,1.67,49,37,,,,,,,,,6,60.0%,4,66.7%,243,49,16.78%,292,420,69.5%,243,49,292,175,72.0%,45,91.8%,220,75.3%,1,0.6%,0,0.0%,1,0.5%,1,100.0%,0,,1,100.0%,0,0.0%,0,0.0%,0,0.0%,2,20.0%,1,16.7%,
SOUTHLAND DISTRICT,TE ANAU COMMUNITY BOARD,AT LARGE,CB,FPP,s,Southland,Provincial,District,,,,,,,,,,,Contested,6,0,15,2.50,403,252,,,,,,,,,4,26.7%,2,33.3%,"2,357",63,2.60%,"2,420",3370,71.8%,"2,357",63,"2,420","1,459",61.9%,51,81.0%,"1,510",62.4%,5,0.3%,0,0.0%,5,0.3%,5,100.0%,0,,5,100.0%,8,0.5%,3,0.2%,11,0.7%,4,26.7%,2,33.3%,
SOUTHLAND DISTRICT,TUATAPERE COMMUNITY BOARD,AT LARGE,CB,FPP,s,Southland,Provincial,District,,,,,,,,,,,Contested,6,0,7,1.17,167,77,,,,,,,,,4,57.1%,4,66.7%,996,5,0.50%,"1,001",1460,68.6%,996,5,"1,001",458,46.0%,3,60.0%,461,46.1%,1,0.2%,0,0.0%,1,0.2%,1,100.0%,0,,1,100.0%,1,0.2%,5,1.1%,6,1.3%,0,0.0%,0,0.0%,
SOUTHLAND DISTRICT,WALLACE COMMUNITY BOARD,AT LARGE,CB,FPP,s,Southland,Provincial,District,,,,,,,,,,,Unopposed,6,6,6,1.00,370,,,,,,,,,,2,33.3%,2,33.3%,"2,214",4,0.18%,"2,218",3610,61.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,33.3%,2,33.3%,
