Area,Authority,ward,Type,Electoral system,Island,Region,Area type,TA Type,City Size,Progress results issued,Progress results time,Preliminary results announced,Voting papers order,Other elections were:,Poles were:,Number of documents sent,Number of documents returned unopened,Number of documents returned late,Contested wards,"Positions 
(N)","Elected unopposed 
(N)","Candidates 
(N)",Candidates per position,Electors per electable position,Voters per electable contested position,"Candidates Council sitting members 
(N)","Candidates Council sitting members 
(%)","Also candidates for Council
(N)",Sitting Mayor,Mayor/ Council members re-elected (N),"Mayor/ Council members re-elected
(%)",Council members re-elected or Mayor (N),"Council members re-elected or Mayor
(%)","Candidates (community) board members 
(N)","Candidates (community) board members 
(%)","(Community) board members elected 
(N)","(Community) board members elected 
(%)","Residential electors 
(N)","Ratepayer electors 
(N)","Ratepayer electors 
(%)","Total electors 
(N)",Population resident 2013,Electors as % of total population,Residential electors (contested wards only),Ratepayer electors (contested wards only),Total electors (Contested wards only),"Residential voters 
(N)","Residential turnout 
(%)","Ratepayer voters 
(N)","Ratepayer turnout 
(%)","Total voters 
(N)",Overall turnout (%),"Residential special votes cast 
(N)","Residential special votes cast 
(%)","Ratepayer special votes cast 
(N)","Ratepayer special votes cast 
(%)","Total special votes cast 
(N)","Total special votes cast 
(%)","Residential special votes allowed 
(N)","Residential special votes allowed 
(%)","Ratepayer special votes allowed 
(N)","Ratepayer special votes allowed 
(%)","Total special votes allowed 
(N)","Total special votes allowed 
(%)","Informal votes
(N)","Informal votes
(%)","Blank votes 
(N)","Blank votes 
(%)","Blank and informal votes 
(N)","Blank and informal votes 
(%)","Women candidates
(N)","Women candidates
(%)","Women elected
(N)","Women elected
(%)",Unfilled positions
RANGITIKEI DISTRICT,TAIHAPE COMMUNITY BOARD,AT LARGE,CB,FPP,n,Manawatu-Wanganui,Rural,District,,,,,,,,,,,Unopposed,4,3,3,0.75,572,,,,,,,,,,3,100.00%,3,75.00%,"2,286",2,0.09%,"2,288","3,630",63.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66.70%,3,75.00%,1
RANGITIKEI DISTRICT,RANGITIKEI DISTRICT COUNCIL,BULLS,DC,FPP,n,Manawatu-Wanganui,Rural,District,,,,,,,,,,,Contested,2,,3,1.5,809,346,0,,,,,,,,,,,,"1,615",2,0.12%,"1,617","2,349",68.80%,"1,615",2,"1,617",689,42.70%,2,100.00%,691,42.70%,9,1.30%,1,50.00%,10,1.40%,9,100.00%,1,100.00%,10,100.00%,,,5,0.70%,5,0.70%,1,33.30%,1,50.00%,
RANGITIKEI DISTRICT,RANGITIKEI DISTRICT COUNCIL,HUNTERVILLE,DC,FPP,n,Manawatu-Wanganui,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1,872,,1,100.00%,,,,,,,,,,,870,2,0.23%,872,"1,245",70.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
RANGITIKEI DISTRICT,RANGITIKEI DISTRICT COUNCIL,MARTON,DC,FPP,n,Manawatu-Wanganui,Rural,District,,,,,,,,,,,Contested,4,,12,3,"1,059",584,4,33.30%,,,2,50.00%,2,,,,,,"4,231",5,0.12%,"4,236","5,847",72.40%,"4,231",5,"4,236","2,330",55.10%,4,80.00%,"2,334",55.10%,15,0.60%,1,25.00%,16,0.70%,11,73.30%,,,11,68.80%,6,0.30%,22,0.90%,28,1.20%,3,25.00%,1,25.00%,
RANGITIKEI DISTRICT,RANGITIKEI DISTRICT COUNCIL,TAIHAPE,DC,FPP,n,Manawatu-Wanganui,Rural,District,,,,,,,,,,,Contested,3,,5,1.67,763,334,3,60.00%,,,1,33.30%,1,,,,,,"2,286",2,0.09%,"2,288","3,363",68.00%,"2,286",2,"2,288","1,000",43.70%,1,50.00%,"1,001",43.80%,5,0.50%,,,5,0.50%,5,100.00%,,,5,100.00%,1,0.10%,10,1.00%,11,1.10%,2,40.00%,1,33.30%,
RANGITIKEI DISTRICT,RANGITIKEI DISTRICT COUNCIL,TURAKINA,DC,FPP,n,Manawatu-Wanganui,Rural,District,,Y,12.32 pm,13th October 3.40 pm,Alphabetical,N/A,N/A,"9,866",93,4,Unopposed,1,1,1,1,853,,1,100.00%,,,1,100.00%,1,,,,,,850,3,0.35%,853,"1,215",70.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,
RANGITIKEI DISTRICT,RANGITIKEI DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Manawatu-Wanganui,Rural,District,,,,,,,,,,,Contested,1,,4,4,"9,866","4,856",1,25.00%,2,Defeated,,,,,,,,,"9,852",14,0.14%,"9,866","14,019",70.40%,"9,852",14,"9,866","4,846",49.20%,10,71.40%,"4,856",49.20%,31,0.60%,3,30.00%,34,0.70%,26,83.90%,2,66.70%,28,82.40%,18,0.40%,56,1.20%,74,1.50%,1,25.00%,0,,
ROTORUA DISTRICT,ROTORUA LAKES COMMUNITY BOARD,AT LARGE,CB,FPP,n,Bay of Plenty,Provincial,District,,,,,,,,,,,Contested,4,,6,1.5,537,294,,,,,,,,,2,33.30%,2,50.00%,"2,080",69,3.21%,"2,149","2,910",73.80%,"2,080",69,"2,149","1,129",54.30%,47,68.10%,"1,176",54.70%,17,1.50%,1,2.10%,18,1.50%,15,88.20%,0,0.00%,15,83.30%,1,0.10%,146,12.40%,147,12.50%,0,,,,
ROTORUA DISTRICT,ROTORUA DISTRICT COUNCIL,AT LARGE,DC,FPP,n,Bay of Plenty,Provincial,District,,Y,12.20 pm,13th October 5.20 pm,Random,N/A,N/A,"45,663",617,65,Contested,12,,31,2.58,179,"1,666",10,32.30%,,,9,75.00%,9,69.20%,,,,,"2,080",69,3.21%,"2,149","65,280",3.30%,"2,080",69,"2,149","19,905",957.00%,90,130.40%,"19,995",930.40%,170,0.90%,3,3.30%,173,0.90%,158,92.90%,1,33.30%,159,91.90%,117,0.60%,246,1.20%,363,1.80%,15,48.40%,5,41.70%,
ROTORUA DISTRICT,ROTORUA DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Bay of Plenty,Provincial,District,,,,,,,,,,,Contested,1,,5,5,"45,663","19,995",0,0.00%,2,Defeated,,,,,,,,,"45,546",117,0.26%,"45,663","1,065",4287.60%,"45,546",117,"45,663","19,905",43.70%,90,76.90%,"19,995",43.80%,170,0.90%,3,3.30%,173,0.90%,158,92.90%,1,33.30%,159,91.90%,48,0.20%,351,1.80%,399,2.00%,3,60.00%,1,100.00%,
RUAPEHU DISTRICT,NATIONAL PARK COMMUNITY BOARD,AT LARGE,CB,FPP,n,Manawatu-Wanganui,Rural,District,,,,,,,,,,,Unopposed,4,4,4,1,177,,,,,,,,,,2,50.00%,2,50.00%,684,22,3.12%,706,"1,065",66.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25.00%,1,25.00%,
RUAPEHU DISTRICT,WAIMARINO-WAIOURU COMMUNITY BOARD,AT LARGE,CB,FPP,n,Manawatu-Wanganui,Rural,District,,,,,,,,,,,Unopposed,4,4,4,1,582,,,,,,,,,,3,75.00%,3,75.00%,"2,294",34,1.46%,"2,328","3,948",59.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25.00%,1,25.00%,
RUAPEHU DISTRICT,RUAPEHU DISTRICT COUNCIL,NATIONAL PARK,DC,FPP,n,Manawatu-Wanganui,Rural,District,,,,,,,,,,,Contested,1,,3,3,705,403,1,33.30%,,,1,100.00%,1,,1,33.30%,,,684,21,2.98%,705,"1,065",66.20%,684,21,705,383,56.00%,20,95.20%,403,57.20%,8,2.10%,2,10.00%,10,2.50%,5,62.50%,1,50.00%,6,60.00%,,,12,3.00%,12,3.00%,1,33.30%,1,100.00%,
RUAPEHU DISTRICT,RUAPEHU DISTRICT COUNCIL,OHURA,DC,FPP,n,Manawatu-Wanganui,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1,699,,1,100.00%,,,1,100.00%,1,,,,,,698,1,0.14%,699,"1,086",64.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,
RUAPEHU DISTRICT,RUAPEHU DISTRICT COUNCIL,TAUMARUNUI,DC,FPP,n,Manawatu-Wanganui,Rural,District,,,,,,,,,,,Contested,5,,9,1.8,726,338,4,44.40%,,,4,80.00%,4,,,,,,"3,617",12,0.33%,"3,629","5,745",63.20%,"3,617",12,"3,629","1,679",46.40%,11,91.70%,"1,690",46.60%,28,1.70%,2,18.20%,30,1.80%,22,78.60%,1,50.00%,23,76.70%,4,0.20%,40,2.40%,44,2.60%,2,22.20%,2,40.00%,
RUAPEHU DISTRICT,RUAPEHU DISTRICT COUNCIL,WAIMARINO-WAIOURU,DC,FPP,n,Manawatu-Wanganui,Rural,District,,Y,12.55 pm,15th October 8.58 pm,Alphabetical,N/A,N/A,"7,362",81,9,Contested,4,,5,1.25,582,266,1,20.00%,,,1,25.00%,1,,,,,,"2,294",34,1.46%,"2,328","3,948",59.00%,"2,294",34,"2,328","1,033",45.00%,30,88.20%,"1,063",45.70%,27,2.60%,1,3.30%,28,2.60%,17,63.00%,,,17,60.70%,,0.00%,40,3.80%,40,3.80%,2,40.00%,1,25.00%,
RUAPEHU DISTRICT,RUAPEHU DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Manawatu-Wanganui,Rural,District,,,,,,,,,,,Contested,1,,4,4,"7,361","3,446",1,25.00%,1,Stood down,,,,,,,,,"7,293",68,0.92%,"7,361","11,844",62.10%,"7,293",68,"7,361","3,384",46.40%,62,91.20%,"3,446",46.80%,63,1.90%,5,8.10%,68,2.00%,47,74.60%,2,40.00%,49,72.10%,5,0.10%,37,1.10%,42,1.20%,0,,,,
SELWYN DISTRICT,MALVERN COMMUNITY BOARD,HAWKINS,CB,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Unopposed,3,3,3,1,"1,210",,,,,,,,,,3,100.00%,3,100.00%,"3,626",3,0.08%,"3,629",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100.00%,3,100.00%,
SELWYN DISTRICT,MALVERN COMMUNITY BOARD,TAWERA,CB,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,2,,3,1.5,886,496,,,,,,,,,2,66.70%,1,50.00%,"1,749",23,1.30%,"1,772",,,"1,749",23,"1,772",972,55.60%,19,82.60%,991,55.90%,,,,,,,11,,,,11,,,,79,8.00%,79,8.00%,0,,,,
SELWYN DISTRICT,SELWYN CENTRAL COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Unopposed,4,4,4,1,"2,799",,,,,,,,,,3,75.00%,3,75.00%,"11,194",3,0.03%,"11,197","12,705",88.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50.00%,2,50.00%,
SELWYN DISTRICT,SELWYN DISTRICT COUNCIL,ELLESMERE,DC,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Unopposed,2,2,2,1,"2,179",,2,100.00%,,,2,100.00%,2,,,,,,"4,352",5,0.11%,"4,357","6,759",64.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
SELWYN DISTRICT,SELWYN DISTRICT COUNCIL,MALVERN,DC,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,2,,4,2,"2,701","1,537",2,50.00%,,,2,100.00%,2,,,,,,"5,375",26,0.48%,"5,401","7,788",69.40%,"5,375",26,"5,401","3,051",56.80%,22,84.60%,"3,073",56.90%,,,,,,,27,,,,27,,1,0.00%,46,1.50%,47,1.50%,0,,,,
SELWYN DISTRICT,SELWYN DISTRICT COUNCIL,SELWYN CENTRAL,DC,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,4,,6,1.5,"2,799","1,036",4,66.70%,,,4,100.00%,4,,2,33.30%,,,"11,194",3,0.03%,"11,197","17,346",64.60%,"11,194",3,"11,197","4,140",37.00%,3,100.00%,"4,143",37.00%,,,,,,,59,,,,59,,5,0.10%,148,3.60%,153,3.70%,3,50.00%,1,25.00%,
SELWYN DISTRICT,SELWYN DISTRICT COUNCIL,SPRINGS,DC,FPP,s,Canterbury,Provincial,District,,N,N/A,12th October  4.49 pm,Random,N/A,N/A,"29,579",,20,Unopposed,3,3,3,1,"2,875",,2,66.70%,,,2,66.70%,2,,,,,,"8,622",2,0.02%,"8,624","12,705",67.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.30%,1,33.30%,
SELWYN DISTRICT,SELWYN DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,1,,6,6,"29,579","12,839",3,50.00%,4,Re-elected,1,100.00%,1,,,,,,"29,543",36,0.12%,"29,579","44,598",66.30%,"29,543",36,"29,579","12,808",43.40%,31,86.10%,"12,839",43.40%,,,,,,,130,,,,130,,31,0.20%,82,0.60%,113,0.90%,2,33.30%,0,,
SOUTH CANTERBURY DHB,SOUTH CANTERBURY DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,s,Canterbury,DHB,DHB,,Y,6.20 pm,13th October 7.22 pm,Random,,,,,,Contested,7,,10,1.43,"6,008","3,151",,,,,,,,,7,70.00%,7,100.00%,"42,057",,,"42,057","57,000",73.80%,"42,057",,"42,057","22,057",52.40%,,,"22,057",52.40%,137,0.60%,,,137,0.60%,125,91.20%,,,125,91.20%,"1,079",4.90%,"1,514",6.90%,"2,593",11.80%,3,30.00%,2,28.60%,
SOUTH TARANAKI DISTRICT,EGMONT PLAINS COMMUNITY BOARD,AT LARGE,CB,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,Contested,4,,6,1.5,987,374,,,,,,,,,4,66.70%,3,75.00%,"3,943",4,0.10%,"3,947","3,942",100.10%,"3,943",4,"3,947","1,491",37.80%,4,100.00%,"1,495",37.90%,,,,,,#VALUE!,4,,1,,5,,0,0.00%,52,3.50%,52,3.50%,2,33.30%,1,25.00%,
SOUTH TARANAKI DISTRICT,ELTHAM COMMUNITY BOARD,AT LARGE,CB,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,Contested,4,,6,1.5,644,252,,,,,,,,,3,50.00%,3,75.00%,"2,571",3,0.12%,"2,574","9,696",26.50%,"2,571",3,"2,574","1,006",39.10%,2,66.70%,"1,008",39.20%,,,,,,,3,,0,,3,,2,0.20%,60,6.00%,62,6.20%,4,66.70%,3,75.00%,
SOUTH TARANAKI DISTRICT,HAWERA-TANGAHOE COMMUNITY BOARD,HAWERA-NORMANBY,CB,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,Contested,3,,4,1.33,"2,245","1,157",,,,,,,,,3,75.00%,2,66.70%,"6,726",8,0.12%,"6,734","3,840",175.40%,"6,726",8,"6,734","3,464",51.50%,8,100.00%,"3,472",51.60%,,,,,,,44,,1,,45,,0,0.00%,198,5.70%,198,5.70%,1,25.00%,1,33.30%,
SOUTH TARANAKI DISTRICT,HAWERA-TANGAHOE COMMUNITY BOARD,TANGAHOE,CB,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1,"1,724",,,,,,,,,,1,100.00%,1,100.00%,"1,722",2,0.06%,"1,724","26,577",6.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,0,0.00%,
SOUTH TARANAKI DISTRICT,PATEA-WAVERLEY COMMUNITY BOARD,AT LARGE,CB,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,Contested,4,,8,2,625,288,,,,,,,,,1,12.50%,1,25.00%,"2,491",7,0.28%,"2,498","2,631",94.90%,"2,491",7,"2,498","1,145",46.00%,7,100.00%,"1,152",46.10%,,,,,,,10,,2,,12,,3,0.30%,13,1.10%,16,1.40%,4,50.00%,2,50.00%,
SOUTH TARANAKI DISTRICT,SOUTH TARANAKI DISTRICT COUNCIL,EGMONT PLAINS,DC,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,Contested,3,,7,2.33,"1,316",498,3,42.90%,,,2,66.70%,2,,,,,,"3,943",4,0.10%,"3,947","6,468",61.00%,"3,943",4,"3,947","1,491",37.80%,4,100.00%,"1,495",37.90%,,,,,,,4,,1,,5,,2,0.10%,33,2.20%,35,2.30%,2,28.60%,1,33.30%,
SOUTH TARANAKI DISTRICT,SOUTH TARANAKI DISTRICT COUNCIL,ELTHAM,DC,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,Unopposed,2,2,2,1,"1,287",,2,100.00%,,,2,100.00%,2,,,,,,"2,571",3,0.12%,"2,574","3,942",65.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
SOUTH TARANAKI DISTRICT,SOUTH TARANAKI DISTRICT COUNCIL,HAWERA,DC,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,Contested,4,,9,2.25,"1,684",868,3,33.30%,,,3,75.00%,3,,,,,,"6,726",8,0.12%,"6,734","9,696",69.50%,"6,726",8,"6,734","3,464",51.50%,8,100.00%,"3,472",51.60%,,,,,,,44,,1,,45,,3,0.10%,29,0.80%,32,0.90%,1,11.10%,1,25.00%,
SOUTH TARANAKI DISTRICT,SOUTH TARANAKI DISTRICT COUNCIL,PATEA,DC,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,Contested,2,,3,1.5,"1,249",576,2,66.70%,,,1,50.00%,1,,,,,,"2,491",7,0.28%,"2,498","3,840",65.10%,"2,491",7,"2,498","1,145",46.00%,7,100.00%,"1,152",46.10%,,,,,,,10,,2,,12,,2,0.20%,49,4.30%,51,4.40%,1,33.30%,0,,
SOUTH TARANAKI DISTRICT,SOUTH TARANAKI DISTRICT COUNCIL,TANGAHOE,DC,FPP,n,Taranaki,Provincial,District,,N,N/A,3.24 pm,Pseudo-random,N/A,N/A,"17,453",193,46,Unopposed,1,1,1,1,"1,724",,0,,,,,,,,,,,,"1,722",2,0.12%,"1,724","2,631",65.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
SOUTH TARANAKI DISTRICT,SOUTH TARANAKI DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,Contested,1,,3,3,"17,477","7,984",0,,,Re-elected,1,100.00%,1,,,,,,"17,453",24,0.14%,"17,477","26,577",65.80%,"17,453",24,"17,477","7,960",45.60%,24,100.00%,"7,984",45.70%,83,1.00%,5,20.80%,88,1.10%,75,90.40%,5,100.00%,80,90.90%,12,0.20%,108,1.40%,120,1.50%,0,,,,
SOUTH WAIKATO DISTRICT,TIRAU COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Rural,District,,,,,,,,,,,Contested,4,,5,1.25,356,126,,,,,,,,,3,60.00%,2,50.00%,"1,419",4,0.28%,"1,423","13,797",10.30%,"1,419",4,"1,423",500,35.20%,3,75.00%,503,35.30%,,,,,,,0,,,,0,,0,0.00%,17,3.40%,17,3.40%,3,60.00%,2,50.00%,
SOUTH WAIKATO DISTRICT,SOUTH WAIKATO DISTRICT COUNCIL,PUTARURU,DC,FPP,n,Waikato,Rural,District,,,,,,,,,,,Unopposed,3,3,3,1,"1,378",,3,100.00%,,,3,100.00%,3,,,,,,"4,129",4,0.10%,"4,133","6,168",67.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66.70%,2,66.70%,
SOUTH WAIKATO DISTRICT,SOUTH WAIKATO DISTRICT COUNCIL,TIRAU,DC,FPP,n,Waikato,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1,"1,423",,1,100.00%,,,1,100.00%,1,,,,,,"1,419",4,0.28%,"1,423","2,106",67.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
SOUTH WAIKATO DISTRICT,SOUTH WAIKATO DISTRICT COUNCIL,TOKOROA,DC,FPP,n,Waikato,Rural,District,,N,N/A,12th October 1.30 pm,Alphabetical,N/A,N/A,"14,774",142,13,Contested,6,,16,2.67,"1,539",639,3,18.80%,,,1,16.70%,1,,,,,,"9,226",8,0.09%,"9,234","13,797",66.90%,"9,226",8,"9,234","3,830",41.50%,5,62.50%,"3,835",41.50%,58,1.50%,,,58,1.50%,49,84.50%,,,49,84.50%,27,0.70%,23,0.60%,50,1.30%,6,37.50%,1,16.70%,
SOUTH WAIKATO DISTRICT,SOUTH WAIKATO DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Waikato,Rural,District,,,,,,,,,,,Contested,1,,4,4,"14,790","5,909",0,,,Re-elected,1,100.00%,1,,,,,,"14,774",16,0.11%,"14,790","22,071",67.00%,"14,774",16,"14,790","5,897",39.90%,12,75.00%,"5,909",40.00%,58,1.00%,,,58,1.00%,53,91.40%,,,53,91.40%,18,0.30%,146,2.50%,164,2.80%,2,50.00%,0,,
SOUTH WAIRARAPA DISTRICT,FEATHERSTON COMMUNITY BOARD,AT LARGE,CB,FPP,n,Wellington,Rural,District,,,,,,,,,,,Contested,4,,7,1.75,542,249,,,,,,,,,3,42.90%,2,50.00%,"2,162",6,0.28%,"2,168","3,315",65.40%,"2,162",6,"2,168",989,45.70%,5,83.30%,994,45.80%,6,0.60%,1,20.00%,7,0.70%,3,50.00%,,,3,42.90%,2,0.20%,30,3.00%,32,3.20%,3,42.90%,2,50.00%,
SOUTH WAIRARAPA DISTRICT,GREYTOWN COMMUNITY BOARD,AT LARGE,CB,FPP,n,Wellington,Rural,District,,,,,,,,,,,Contested,4,,5,1.25,643,289,,,,,,,,,4,80.00%,3,75.00%,"2,561",10,0.39%,"2,571","9,528",27.00%,"2,561",10,"2,571","1,148",44.80%,9,90.00%,"1,157",45.00%,4,0.30%,,,4,0.30%,4,100.00%,,,4,100.00%,,,33,2.90%,33,2.90%,3,60.00%,3,75.00%,
SOUTH WAIRARAPA DISTRICT,MARTINBOROUGH COMMUNITY BOARD,AT LARGE,CB,FPP,n,Wellington,Rural,District,,,,,,,,,,,Contested,4,,5,1.25,619,275,,,,,,,,,2,40.00%,2,50.00%,"2,440",36,1.45%,"2,476",,,"2,440",36,"2,476","1,070",43.90%,30,83.30%,"1,100",44.40%,3,0.30%,,,3,0.30%,1,33.30%,,,1,33.30%,4,0.40%,18,1.60%,22,2.00%,4,80.00%,4,100.00%,
SOUTH WAIRARAPA DISTRICT,SOUTH WAIRARAPA DISTRICT COUNCIL,FEATHERSTON,DC,FPP,n,Wellington,Rural,District,,,,,,,,,,,Contested,3,,5,1.67,723,331,2,40.00%,,,2,66.70%,2,,1,20.00%,1,33.30%,"2,162",6,0.28%,"2,168","2,973",72.90%,"2,162",6,"2,168",989,45.70%,5,83.30%,994,45.80%,6,0.60%,1,20.00%,7,0.70%,3,50.00%,,,3,42.90%,2,0.20%,7,0.70%,9,0.90%,2,40.00%,1,33.30%,
SOUTH WAIRARAPA DISTRICT,SOUTH WAIRARAPA DISTRICT COUNCIL,GREYTOWN,DC,FPP,n,Wellington,Rural,District,,,,,,,,,,,Contested,3,,5,1.67,857,385,2,40.00%,,,2,66.70%,2,,,,,,"2,561",9,0.35%,"2,570","3,240",79.30%,"2,561",9,"2,570","1,148",44.80%,8,88.90%,"1,156",45.00%,4,0.30%,,,4,0.30%,4,100.00%,,,4,100.00%,2,0.20%,22,1.90%,24,2.10%,2,40.00%,2,66.70%,
SOUTH WAIRARAPA DISTRICT,SOUTH WAIRARAPA DISTRICT COUNCIL,MARTINBOROUGH,DC,FPP,n,Wellington,Rural,District,,Y,12.35 pm,12th October 7.26 pm,Pseudo-random,N/A,N/A,"7,215",72,14,Contested,3,,4,1.33,825,367,3,75.00%,,,3,100.00%,3,,,,,,"2,440",36,1.45%,"2,476","3,315",74.70%,"2,440",36,"2,476","1,070",43.90%,30,83.30%,"1,100",44.40%,3,0.30%,,,3,0.30%,1,33.30%,,,1,33.30%,3,0.30%,16,1.50%,19,1.70%,1,25.00%,1,33.30%,
SOUTH WAIRARAPA DISTRICT,SOUTH WAIRARAPA DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Wellington,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1,"7,214",,0,0.00%,0,Re-elected,1,100.00%,1,,,,,,"7,163",51,0.71%,"7,214","9,528",75.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,
SOUTH WAIRARAPA DISTRICT,GREYTOWN TRUST LANDS TRUST,AT LARGE,OTHER,FPP,n,Wellington,Rural,District,,,,,,,,,,,Contested,3,,9,3,854,383,,,,,,,,,,,,,"2,561",,,"2,561",0,#DIV/0!,"2,561",,"2,561","1,148",44.80%,,,"1,148",44.80%,4,0.30%,,,4,0.30%,4,100.00%,,,4,100.00%,16,1.40%,27,2.40%,43,3.70%,2,22.20%,0,,
SOUTHERN DHB,SOUTHERN DISTRICT HEALTH BOARD,OTAGO,DHB,STV,s,Otago,DHB,DHB,,Y,Saturday 7 pm Otago; Sunday 11.45 am Southland,Sunday 1.00 pm (Otago and Southland),Random,,,,,,Contested,4,,13,3.25,"33,753","15,860",,,,,,,,,3,23.10%,2,50.00%,"135,013",,,"135,013","194,800",69.30%,"135,013",,"135,013","63,441",47.00%,,,"63,441",47.00%,766,1.20%,,,766,1.20%,679,88.60%,,,679,88.60%,"1,660",2.60%,"6,344",10.00%,"8,004",12.60%,3,23.10%,1,25.00%,
SOUTHERN DHB,SOUTHERN DISTRICT HEALTH BOARD,SOUTHLAND,DHB,STV,s,Southland,DHB,DHB,,Y,Saturday 7 pm Otago; Sunday 11.45 am Southland,Sunday 1.00 pm (Otago and Southland),Random,,,,,,Contested,3,,8,2.67,"26,418","11,946",,,,,,,,,3,37.50%,3,100.00%,"79,255",,,"79,255","115,000",68.90%,"79,255",,"79,255","35,839",45.20%,,,"35,839",45.20%,234,0.70%,,,234,0.70%,222,94.90%,,,222,94.90%,"3,246",9.10%,"4,781",13.30%,"8,027",22.40%,2,25.00%,1,33.30%,
SOUTHLAND DISTRICT,EDENDALE-WYNDHAM COMMUNITY BOARD,EDENDALE,CB,FPP,s,Southland,Provincial,District,,,,,,,,,,,Unopposed,3,2,2,0.67,272,,,,,,,,,,2,100.00%,2,66.70%,816,,,816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,1,33.30%,1
SOUTHLAND DISTRICT,EDENDALE-WYNDHAM COMMUNITY BOARD,WYNDHAM,CB,FPP,s,Southland,Provincial,District,,,,,,,,,,,Contested,3,,5,1.67,272,139,,,,,,,,,3,60.00%,1,33.30%,816,1,0.12%,817,,,816,1,817,416,51.00%,0,0.00%,416,50.90%,,,,,,,,,,,,,1,0.20%,10,2.40%,11,2.60%,1,20.00%,1,33.30%,
SOUTHLAND DISTRICT,OTAUTAU COMMUNITY BOARD,AT LARGE,CB,FPP,s,Southland,Provincial,District,,,,,,,,,,,Contested,6,,8,1.33,135,60,,,,,,,,,5,62.50%,4,66.70%,808,3,0.37%,811,,,808,3,811,354,43.80%,3,100.00%,357,44.00%,,,,,,,,,,,,,,0.00%,6,1.70%,6,1.70%,1,12.50%,1,16.70%,
SOUTHLAND DISTRICT,RIVERTON-APARIMA COMMUNITY BOARD,AT LARGE,CB,FPP,s,Southland,Provincial,District,,,,,,,,,,,Contested,6,,7,1.17,195,88,,,,,,,,,6,85.70%,6,100.00%,"1,149",22,1.88%,"1,171","1,600",73.20%,"1,149",22,"1,171",510,44.40%,19,86.40%,529,45.20%,2,0.40%,,,2,0.40%,,,2,,,,1,0.20%,9,1.70%,10,1.90%,1,14.30%,1,16.70%,
SOUTHLAND DISTRICT,STEWART ISLAND-RAKIURA COMMUNITY BOARD,AT LARGE,CB,FPP,s,Southland,Provincial,District,,,,,,,,,,,Contested,6,,7,1.17,50,33,,,,,,,,,3,42.90%,2,33.30%,251,50,16.61%,301,420,71.70%,251,50,301,156,62.20%,44,88.00%,200,66.40%,3,1.90%,,,3,1.50%,3,100.00%,,,3,100.00%,1,0.50%,0,,1,0.50%,1,14.30%,1,16.70%,
